school,season,url,status,reason
East Texas Baptist University,2026,https://etbutigers.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Elms College,2022,https://www.ecblazers.com/sports/bsb/2021-22/teams/elms,unresolved,no working URL pattern found on live site
Elms College,2023,https://www.ecblazers.com/sports/bsb/2022-23/teams/elms,unresolved,no working URL pattern found on live site
Elms College,2024,https://www.ecblazers.com/sports/bsb/2023-24/teams/elms,unresolved,no working URL pattern found on live site
Elms College,2025,https://www.ecblazers.com/sports/bsb/2024-25/teams/elms,unresolved,no working URL pattern found on live site
Elms College,2026,https://www.ecblazers.com/sports/bsb/2025-26/teams/elms,unresolved,no working URL pattern found on live site
Endicott College,2022,https://www.ecgulls.com/sports/bsb/2021-22/teams/endicott,unresolved,no working URL pattern found on live site
Endicott College,2023,https://www.ecgulls.com/sports/bsb/2022-23/teams/endicott,unresolved,no working URL pattern found on live site
Endicott College,2024,https://www.ecgulls.com/sports/bsb/2023-24/teams/endicott,unresolved,no working URL pattern found on live site
Endicott College,2025,https://www.ecgulls.com/sports/bsb/2024-25/teams/endicott,unresolved,no working URL pattern found on live site
Endicott College,2026,https://www.ecgulls.com/sports/bsb/2025-26/teams/endicott,unresolved,no working URL pattern found on live site
Eureka College,2022,https://eurekareddevils.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Eureka College,2023,https://eurekareddevils.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Eureka College,2024,https://eurekareddevils.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Eureka College,2025,https://eurekareddevils.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Eureka College,2026,https://eurekareddevils.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Fitchburg State University,2022,https://www.fitchburgfalcons.com/sports/bsb/2021-22/teams/fitchburgst,unresolved,no working URL pattern found on live site
Fitchburg State University,2023,https://www.fitchburgfalcons.com/sports/bsb/2022-23/teams/fitchburgst,unresolved,no working URL pattern found on live site
Fitchburg State University,2024,https://www.fitchburgfalcons.com/sports/bsb/2023-24/teams/fitchburgst,unresolved,no working URL pattern found on live site
Fitchburg State University,2025,https://www.fitchburgfalcons.com/sports/bsb/2024-25/teams/fitchburgst,unresolved,no working URL pattern found on live site
Fitchburg State University,2026,https://www.fitchburgfalcons.com/sports/bsb/2025-26/teams/fitchburgst,unresolved,no working URL pattern found on live site
Framingham State University,2022,https://www.fsurams.com/sports/bsb/2021-22/teams/framinghamst,unresolved,no working URL pattern found on live site
